id	text	tag	
001.jpeg	Invoice	O	
001.jpeg	no:	O	
001.jpeg	51109338	B-ID	
001.jpeg	Date	O	
001.jpeg	of	O	
001.jpeg	issue:	O	
001.jpeg	Seller:	O	
001.jpeg	"Andrews,"	B-SN	
001.jpeg	Kirby	I-SN	
001.jpeg	and	I-SN	
001.jpeg	Valdez	I-SN	
001.jpeg	58861	O	
001.jpeg	Gonzalez	O	
001.jpeg	Prairie	O	
001.jpeg	Lake	O	
001.jpeg	"Daniellefurt,"	O	
001.jpeg	IN	O	
001.jpeg	57228	O	
001.jpeg	Tax	O	
001.jpeg	Id:	O	
001.jpeg	945-82-2137	O	
001.jpeg	IBAN:	O	
001.jpeg	GB75MCRL06841367619257	B-IBAN	
001.jpeg	ITEMS	O	
001.jpeg	No.	O	
001.jpeg	Description	O	
001.jpeg	Qty	O	
001.jpeg	tks	O	
001.jpeg	CLEARANCE!	O	
001.jpeg	Fast	O	
001.jpeg	Dell	O	
001.jpeg	Desktop	O	
001.jpeg	"3,00"	O	
001.jpeg	Computer	O	
001.jpeg	PC	O	
001.jpeg	DUAL	O	
001.jpeg	CORE	O	
001.jpeg	WINDOWS	O	
001.jpeg	10	O	
001.jpeg	4/8/16GB	O	
001.jpeg	RAM	O	
001.jpeg	2	O	
001.jpeg	HP	O	
001.jpeg	T520	O	
001.jpeg	Thin	O	
001.jpeg	Client	O	
001.jpeg	Computer	O	
001.jpeg	"5,00"	O	
001.jpeg	AMD	O	
001.jpeg	GX-212JC	O	
001.jpeg	1.2GHz	O	
001.jpeg	4GB	O	
001.jpeg	RAM	O	
001.jpeg	TESTED	O	
001.jpeg	!!READ	O	
001.jpeg	BELOW!!	O	
001.jpeg	3:00	O	
001.jpeg	gaming	O	
001.jpeg	pc	O	
001.jpeg	desktop	O	
001.jpeg	computer	O	
001.jpeg	"1,00"	O	
001.jpeg	4	O	
001.jpeg	12-Core	O	
001.jpeg	Gaming	O	
001.jpeg	Computer	O	
001.jpeg	"3,00"	O	
001.jpeg	Desktop	O	
001.jpeg	PC	O	
001.jpeg	Tower	O	
001.jpeg	Affordable	O	
001.jpeg	GAMING	O	
001.jpeg	PC	O	
001.jpeg	8GB	O	
001.jpeg	AMD	O	
001.jpeg	Vega	O	
001.jpeg	RGB	O	
001.jpeg	Se	O	
001.jpeg	Custom	O	
001.jpeg	Build	O	
001.jpeg	Dell	O	
001.jpeg	Optiplex	O	
001.jpeg	9020	O	
001.jpeg	"5,00"	O	
001.jpeg	MT	O	
001.jpeg	i5-4570	O	
001.jpeg	3.20GHz	O	
001.jpeg	Desktop	O	
001.jpeg	Computer	O	
001.jpeg	PC	O	
001.jpeg	6	O	
001.jpeg	Dell	O	
001.jpeg	Optiplex	O	
001.jpeg	990	O	
001.jpeg	MT	O	
001.jpeg	Computer	O	
001.jpeg	"4,00"	O	
001.jpeg	PC	O	
001.jpeg	Quad	O	
001.jpeg	Core	O	
001.jpeg	i7	O	
001.jpeg	3.4GHz	O	
001.jpeg	16GB	O	
001.jpeg	2TB	O	
001.jpeg	HD	O	
001.jpeg	Windows	O	
001.jpeg	10	O	
001.jpeg	Pro	O	
001.jpeg	Ee	O	
001.jpeg	Dell	O	
001.jpeg	Core	O	
001.jpeg	2	O	
001.jpeg	Duo	O	
001.jpeg	Desktop	O	
001.jpeg	"5,00"	O	
001.jpeg	Computer	O	
001.jpeg	|	O	
001.jpeg	Windows	O	
001.jpeg	XP	O	
001.jpeg	Pro	O	
001.jpeg	|	O	
001.jpeg	4GB	O	
001.jpeg	|	O	
001.jpeg	500GB	O	
001.jpeg	SUMMARY	O	
001.jpeg	VAT	O	
001.jpeg	[%]	O	
001.jpeg	10%	O	
001.jpeg	Total	O	
001.jpeg	4/13/2013	B-DATE	
001.jpeg	UM	O	
001.jpeg	eac	O	
001.jpeg	eac	O	
001.jpeg	eac	O	
001.jpeg	eac	O	
001.jpeg	eac	O	
001.jpeg	eac	O	
001.jpeg	h	O	
001.jpeg	 	O	
001.jpeg	Client:	O	
001.jpeg	Becker	B-CN	
001.jpeg	Ltd	I-CN	
001.jpeg	8012	O	
001.jpeg	Stewart	O	
001.jpeg	Summit	O	
001.jpeg	Apt.	O	
001.jpeg	455	O	
001.jpeg	North	O	
001.jpeg	"Douglas,"	O	
001.jpeg	AZ	O	
001.jpeg	95355	O	
001.jpeg	Tax	O	
001.jpeg	Id:	O	
001.jpeg	942-80-0517	O	
001.jpeg	Net	O	
001.jpeg	price	O	
001.jpeg	"209,00"	O	
001.jpeg	"37,75"	O	
001.jpeg	"400,00"	O	
001.jpeg	"464,89"	O	
001.jpeg	"221,99"	O	
001.jpeg	"269,95"	O	
001.jpeg	"168,00"	O	
001.jpeg	Net	O	
001.jpeg	worth	O	
001.jpeg	5	O	
001.jpeg	"640,17"	O	
001.jpeg	$	O	
001.jpeg	5	O	
001.jpeg	"640,17"	O	
001.jpeg	Net	O	
001.jpeg	worth	O	
001.jpeg	"627,00"	O	
001.jpeg	"188,75"	O	
001.jpeg	"400,00"	O	
001.jpeg	1	O	
001.jpeg	"394,67"	O	
001.jpeg	1	O	
001.jpeg	"079,80"	O	
001.jpeg	"840,00"	O	
001.jpeg	VAT	O	
001.jpeg	[%]	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	10%	O	
001.jpeg	VAT	O	
001.jpeg	"564,02"	O	
001.jpeg	$	O	
001.jpeg	"564,02"	O	
001.jpeg	Gross	O	
001.jpeg	worth	O	
001.jpeg	"689,70"	O	
001.jpeg	"207,63"	O	
001.jpeg	"440,00"	O	
001.jpeg	"1534,14"	O	
001.jpeg	1	O	
001.jpeg	"220,95"	O	
001.jpeg	1	O	
001.jpeg	"187,78"	O	
001.jpeg	"924,00"	O	
001.jpeg	Gross	O	
001.jpeg	worth	O	
001.jpeg	6	O	
001.jpeg	"204,19"	O	
001.jpeg	$	O	
001.jpeg	6	B-TOTAL	
001.jpeg	"204,19"	I-TOTAL	
002.jpeg	Invoice	O	
002.jpeg	no:	O	
002.jpeg	12847181	B-ID	
002.jpeg	Date	O	
002.jpeg	of	O	
002.jpeg	issue:	O	
002.jpeg	Seller:	O	
002.jpeg	Fitzpatrick	B-SN	
002.jpeg	and	I-SN	
002.jpeg	Sons	I-SN	
002.jpeg	480	O	
002.jpeg	Cook	O	
002.jpeg	Cove	O	
002.jpeg	"Spencerport,"	O	
002.jpeg	UT	O	
002.jpeg	12036	O	
002.jpeg	Tax	O	
002.jpeg	Id:	O	
002.jpeg	998-99-5253	O	
002.jpeg	IBAN:	O	
002.jpeg	GB92PBPQ73499358975916	B-IBAN	
002.jpeg	ITEMS	O	
002.jpeg	No.	O	
002.jpeg	Description	O	
002.jpeg	Qty	O	
002.jpeg	1	O	
002.jpeg	HP	O	
002.jpeg	Desktop	O	
002.jpeg	Computer	O	
002.jpeg	PC	O	
002.jpeg	J]	O	
002.jpeg	"4,00"	O	
002.jpeg	Core	O	
002.jpeg	i5	O	
002.jpeg	16GB	O	
002.jpeg	2TB	O	
002.jpeg	HD	O	
002.jpeg	256GB	O	
002.jpeg	SSD	O	
002.jpeg	"22"""	O	
002.jpeg	LCD	O	
002.jpeg	J]	O	
002.jpeg	Windows	O	
002.jpeg	10	O	
002.jpeg	2	O	
002.jpeg	CUSTOM	O	
002.jpeg	BUILT	O	
002.jpeg	AMD	O	
002.jpeg	RYZEN	O	
002.jpeg	"3,00"	O	
002.jpeg	THREADRIPPER	O	
002.jpeg	GAMING	O	
002.jpeg	COMPUTER	O	
002.jpeg	","	O	
002.jpeg	32	O	
002.jpeg	GB	O	
002.jpeg	"RAM,"	O	
002.jpeg	3:00	O	
002.jpeg	Fast	O	
002.jpeg	Dell	O	
002.jpeg	Optiplex	O	
002.jpeg	Desktop	O	
002.jpeg	PC	O	
002.jpeg	"1,00"	O	
002.jpeg	Computer	O	
002.jpeg	Dual	O	
002.jpeg	Core	O	
002.jpeg	3.4Ghz	O	
002.jpeg	8GB	O	
002.jpeg	1TB	O	
002.jpeg	Win	O	
002.jpeg	10	O	
002.jpeg	Pro	O	
002.jpeg	WIFI	O	
002.jpeg	4	O	
002.jpeg	Dell	O	
002.jpeg	Optiplex	O	
002.jpeg	790	O	
002.jpeg	Computer	O	
002.jpeg	i7	O	
002.jpeg	"3,00"	O	
002.jpeg	@	O	
002.jpeg	3.4	O	
002.jpeg	Ghz	O	
002.jpeg	Quad	O	
002.jpeg	Core	O	
002.jpeg	250GB	O	
002.jpeg	4GB	O	
002.jpeg	Working	O	
002.jpeg	Vintage	O	
002.jpeg	Microsolutions	O	
002.jpeg	Pentium	O	
002.jpeg	"2,00"	O	
002.jpeg	133mhz	O	
002.jpeg	Desktop	O	
002.jpeg	Tower	O	
002.jpeg	PC	O	
002.jpeg	Windows	O	
002.jpeg	95	O	
002.jpeg	5.25	O	
002.jpeg	Floppy	O	
002.jpeg	SUMMARY	O	
002.jpeg	VAT	O	
002.jpeg	[%]	O	
002.jpeg	10%	O	
002.jpeg	Total	O	
002.jpeg	3/3/2012	B-DATE	
002.jpeg	UM	O	
002.jpeg	each	O	
002.jpeg	each	O	
002.jpeg	each	O	
002.jpeg	each	O	
002.jpeg	each	O	
002.jpeg	Client:	O	
002.jpeg	Duncan	B-CN	
002.jpeg	PLC	I-CN	
002.jpeg	Unit	O	
002.jpeg	8799	O	
002.jpeg	Box	O	
002.jpeg	703	O	
002.jpeg	DPO	O	
002.jpeg	AP	O	
002.jpeg	81970	O	
002.jpeg	Tax	O	
002.jpeg	Id:	O	
002.jpeg	911-82-7132	O	
002.jpeg	Net	O	
002.jpeg	price	O	
002.jpeg	Net	O	
002.jpeg	worth	O	
002.jpeg	VAT	O	
002.jpeg	[%]	O	
002.jpeg	"139,95"	O	
002.jpeg	"559,80"	O	
002.jpeg	10%	O	
002.jpeg	1	O	
002.jpeg	"400,00"	O	
002.jpeg	4	O	
002.jpeg	"200,00"	O	
002.jpeg	10%	O	
002.jpeg	"217,00"	O	
002.jpeg	"217,00"	O	
002.jpeg	10%	O	
002.jpeg	"159,99"	O	
002.jpeg	"479,97"	O	
002.jpeg	10%	O	
002.jpeg	"390,00"	O	
002.jpeg	"780,00"	O	
002.jpeg	10%	O	
002.jpeg	Net	O	
002.jpeg	worth	O	
002.jpeg	VAT	O	
002.jpeg	6	O	
002.jpeg	"236,77"	O	
002.jpeg	"623,68"	O	
002.jpeg	$	O	
002.jpeg	6	O	
002.jpeg	"236,77"	O	
002.jpeg	$	O	
002.jpeg	"623,68"	O	
002.jpeg	Gross	O	
002.jpeg	worth	O	
002.jpeg	"615,78"	O	
002.jpeg	4	O	
002.jpeg	"620,00"	O	
002.jpeg	"238,70"	O	
002.jpeg	"527,97"	O	
002.jpeg	"858,00"	O	
002.jpeg	Gross	O	
002.jpeg	worth	O	
002.jpeg	6	O	
002.jpeg	"860,45"	O	
002.jpeg	$	O	
002.jpeg	6	B-TOTAL	
002.jpeg	"860,45"	I-TOTAL	
003.jpeg	Invoice	O	
003.jpeg	no:	O	
003.jpeg	19471831	B-ID	
003.jpeg	Date	O	
003.jpeg	of	O	
003.jpeg	issue:	O	
003.jpeg	Seller:	O	
003.jpeg	Palmer	B-SN	
003.jpeg	Ltd	I-SN	
003.jpeg	9790	O	
003.jpeg	Bauer	O	
003.jpeg	Hills	O	
003.jpeg	Apt.	O	
003.jpeg	146	O	
003.jpeg	South	O	
003.jpeg	"Patriciaton,"	O	
003.jpeg	SD	O	
003.jpeg	32497	O	
003.jpeg	Tax	O	
003.jpeg	Id:	O	
003.jpeg	924-71-1106	O	
003.jpeg	IBAN:	O	
003.jpeg	GBO5YUTG50853913677557	B-IBAN	
003.jpeg	ITEMS	O	
003.jpeg	No.	O	
003.jpeg	Description	O	
003.jpeg	1	O	
003.jpeg	"15""x15"""	O	
003.jpeg	White	O	
003.jpeg	Decorative	O	
003.jpeg	Coffee	O	
003.jpeg	Table	O	
003.jpeg	Top	O	
003.jpeg	Lapis	O	
003.jpeg	Lazuli	O	
003.jpeg	Marquetery	O	
003.jpeg	Patio	O	
003.jpeg	Décor	O	
003.jpeg	2	O	
003.jpeg	4'x2'	O	
003.jpeg	Marble	O	
003.jpeg	Dining	O	
003.jpeg	Table	O	
003.jpeg	Top	O	
003.jpeg	Pietra	O	
003.jpeg	Dura	O	
003.jpeg	Birds	O	
003.jpeg	Inlay	O	
003.jpeg	Art	O	
003.jpeg	Furniture	O	
003.jpeg	Decors	O	
003.jpeg	B444	O	
003.jpeg	3:00	O	
003.jpeg	60	O	
003.jpeg	Inches	O	
003.jpeg	Marble	O	
003.jpeg	Dinning	O	
003.jpeg	Table	O	
003.jpeg	Top	O	
003.jpeg	Hand	O	
003.jpeg	Inlaid	O	
003.jpeg	Garden	O	
003.jpeg	Table	O	
003.jpeg	with	O	
003.jpeg	Gemstones	O	
003.jpeg	SUMMARY	O	
003.jpeg	Total	O	
003.jpeg	Qty	O	
003.jpeg	"3,00"	O	
003.jpeg	"5,00"	O	
003.jpeg	"5,00"	O	
003.jpeg	VAT	O	
003.jpeg	[%]	O	
003.jpeg	10%	O	
003.jpeg	4/9/2014	B-DATE	
003.jpeg	UM	O	
003.jpeg	each	O	
003.jpeg	each	O	
003.jpeg	each	O	
003.jpeg	Client:	O	
003.jpeg	"Rios,"	B-CN	
003.jpeg	Oneill	I-CN	
003.jpeg	and	I-CN	
003.jpeg	Rowe	I-CN	
003.jpeg	3571	O	
003.jpeg	Tina	O	
003.jpeg	Trafficway	O	
003.jpeg	"Buckleyland,"	O	
003.jpeg	LA	O	
003.jpeg	97688	O	
003.jpeg	Tax	O	
003.jpeg	Id:	O	
003.jpeg	922-72-5979	O	
003.jpeg	Net	O	
003.jpeg	price	O	
003.jpeg	Net	O	
003.jpeg	worth	O	
003.jpeg	VAT	O	
003.jpeg	[%]	O	
003.jpeg	"645,77"	O	
003.jpeg	193731	O	
003.jpeg	1	O	
003.jpeg	"840,10"	O	
003.jpeg	9	O	
003.jpeg	"200,50"	O	
003.jpeg	5	O	
003.jpeg	"908,00"	O	
003.jpeg	29	O	
003.jpeg	"540,00"	O	
003.jpeg	Net	O	
003.jpeg	worth	O	
003.jpeg	VAT	O	
003.jpeg	40	O	
003.jpeg	"677,81"	O	
003.jpeg	4	O	
003.jpeg	"067,78"	O	
003.jpeg	$	O	
003.jpeg	40	O	
003.jpeg	"677,81"	O	
003.jpeg	$	O	
003.jpeg	4	O	
003.jpeg	"067,78"	O	
003.jpeg	10%	O	
003.jpeg	10%	O	
003.jpeg	10%	O	
003.jpeg	Gross	O	
003.jpeg	worth	O	
003.jpeg	2	O	
003.jpeg	"131,04"	O	
003.jpeg	10	O	
003.jpeg	"120,55"	O	
003.jpeg	32	O	
003.jpeg	"494,00"	O	
003.jpeg	Gross	O	
003.jpeg	worth	O	
003.jpeg	44	O	
003.jpeg	"745,59"	O	
003.jpeg	$	O	
003.jpeg	44	B-TOTAL	
003.jpeg	"745,59"	I-TOTAL	
004.jpeg	Invoice	O	
004.jpeg	no:	O	
004.jpeg	16273983	B-ID	
004.jpeg	Date	O	
004.jpeg	of	O	
004.jpeg	issue:	O	
004.jpeg	Seller:	O	
004.jpeg	"Reyes,"	B-SN	
004.jpeg	Holloway	I-SN	
004.jpeg	and	I-SN	
004.jpeg	Lee	I-SN	
004.jpeg	38676	O	
004.jpeg	Johnson	O	
004.jpeg	Burg	O	
004.jpeg	Suite	O	
004.jpeg	666	O	
004.jpeg	West	O	
004.jpeg	"Rebeccamouth,"	O	
004.jpeg	SD	O	
004.jpeg	2588	O	
004.jpeg	Tax	O	
004.jpeg	Id:	O	
004.jpeg	909-83-7738	O	
004.jpeg	IBAN:	O	
004.jpeg	GB96VWUL52026848004193	B-IBAN	
004.jpeg	ITEMS	O	
004.jpeg	No.	O	
004.jpeg	Description	O	
004.jpeg	Qty	O	
004.jpeg	tks	O	
