id,text
001.jpeg,Invoice
001.jpeg,no:
001.jpeg,51109338
001.jpeg,Date
001.jpeg,of
001.jpeg,issue:
001.jpeg,Seller:
001.jpeg,"Andrews,"
001.jpeg,Kirby
001.jpeg,and
001.jpeg,Valdez
001.jpeg,58861
001.jpeg,Gonzalez
001.jpeg,Prairie
001.jpeg,Lake
001.jpeg,"Daniellefurt,"
001.jpeg,IN
001.jpeg,57228
001.jpeg,Tax
001.jpeg,Id:
001.jpeg,945-82-2137
001.jpeg,IBAN:
001.jpeg,GB75MCRL06841367619257
001.jpeg,ITEMS
001.jpeg,No.
001.jpeg,Description
001.jpeg,Qty
001.jpeg,tks
001.jpeg,CLEARANCE!
001.jpeg,Fast
001.jpeg,Dell
001.jpeg,Desktop
001.jpeg,"3,00"
001.jpeg,Computer
001.jpeg,PC
001.jpeg,DUAL
001.jpeg,CORE
001.jpeg,WINDOWS
001.jpeg,10
001.jpeg,4/8/16GB
001.jpeg,RAM
001.jpeg,2.
001.jpeg,HP
001.jpeg,T520
001.jpeg,Thin
001.jpeg,Client
001.jpeg,Computer
001.jpeg,"5,00"
001.jpeg,AMD
001.jpeg,GX-212JC
001.jpeg,1.2GHz
001.jpeg,4GB
001.jpeg,RAM
001.jpeg,TESTED
001.jpeg,!!READ
001.jpeg,BELOW!!
001.jpeg,3:
001.jpeg,gaming
001.jpeg,pc
001.jpeg,desktop
001.jpeg,computer
001.jpeg,"1,00"
001.jpeg,4.
001.jpeg,12-Core
001.jpeg,Gaming
001.jpeg,Computer
001.jpeg,"3,00"
001.jpeg,Desktop
001.jpeg,PC
001.jpeg,Tower
001.jpeg,Affordable
001.jpeg,GAMING
001.jpeg,PC
001.jpeg,8GB
001.jpeg,AMD
001.jpeg,Vega
001.jpeg,RGB
001.jpeg,Se
001.jpeg,Custom
001.jpeg,Build
001.jpeg,Dell
001.jpeg,Optiplex
001.jpeg,9020
001.jpeg,"5,00"
001.jpeg,MT
001.jpeg,i5-4570
001.jpeg,3.20GHz
001.jpeg,Desktop
001.jpeg,Computer
001.jpeg,PC
001.jpeg,6.
001.jpeg,Dell
001.jpeg,Optiplex
001.jpeg,990
001.jpeg,MT
001.jpeg,Computer
001.jpeg,"4,00"
001.jpeg,PC
001.jpeg,Quad
001.jpeg,Core
001.jpeg,i7
001.jpeg,3.4GHz
001.jpeg,16GB
001.jpeg,2TB
001.jpeg,HD
001.jpeg,Windows
001.jpeg,10
001.jpeg,Pro
001.jpeg,Ee
001.jpeg,Dell
001.jpeg,Core
001.jpeg,2
001.jpeg,Duo
001.jpeg,Desktop
001.jpeg,"5,00"
001.jpeg,Computer
001.jpeg,|
001.jpeg,Windows
001.jpeg,XP
001.jpeg,Pro
001.jpeg,|
001.jpeg,4GB
001.jpeg,|
001.jpeg,500GB
001.jpeg,SUMMARY
001.jpeg,VAT
001.jpeg,[%]
001.jpeg,10%
001.jpeg,Total
001.jpeg,04/13/2013
001.jpeg,UM
001.jpeg,eac
001.jpeg,eac
001.jpeg,eac
001.jpeg,eac
001.jpeg,eac
001.jpeg,eac
001.jpeg,h
001.jpeg, 
001.jpeg,Client:
001.jpeg,Becker
001.jpeg,Ltd
001.jpeg,8012
001.jpeg,Stewart
001.jpeg,Summit
001.jpeg,Apt.
001.jpeg,455
001.jpeg,North
001.jpeg,"Douglas,"
001.jpeg,AZ
001.jpeg,95355
001.jpeg,Tax
001.jpeg,Id:
001.jpeg,942-80-0517
001.jpeg,Net
001.jpeg,price
001.jpeg,"209,00"
001.jpeg,"37,75"
001.jpeg,"400,00"
001.jpeg,"464,89"
001.jpeg,"221,99"
001.jpeg,"269,95"
001.jpeg,"168,00"
001.jpeg,Net
001.jpeg,worth
001.jpeg,5
001.jpeg,"640,17"
001.jpeg,$
001.jpeg,5
001.jpeg,"640,17"
001.jpeg,Net
001.jpeg,worth
001.jpeg,"627,00"
001.jpeg,"188,75"
001.jpeg,"400,00"
001.jpeg,1
001.jpeg,"394,67"
001.jpeg,1
001.jpeg,"079,80"
001.jpeg,"840,00"
001.jpeg,VAT
001.jpeg,[%]
001.jpeg,10%
001.jpeg,10%
001.jpeg,10%
001.jpeg,10%
001.jpeg,10%
001.jpeg,10%
001.jpeg,10%
001.jpeg,VAT
001.jpeg,"564,02"
001.jpeg,$
001.jpeg,"564,02"
001.jpeg,Gross
001.jpeg,worth
001.jpeg,"689,70"
001.jpeg,"207,63"
001.jpeg,"440,00"
001.jpeg,"1534,14"
001.jpeg,1
001.jpeg,"220,95"
001.jpeg,1
001.jpeg,"187,78"
001.jpeg,"924,00"
001.jpeg,Gross
001.jpeg,worth
001.jpeg,6
001.jpeg,"204,19"
001.jpeg,$
001.jpeg,6
001.jpeg,"204,19"
002.jpeg,Invoice
002.jpeg,no:
002.jpeg,12847181
002.jpeg,Date
002.jpeg,of
002.jpeg,issue:
002.jpeg,Seller:
002.jpeg,Fitzpatrick
002.jpeg,and
002.jpeg,Sons
002.jpeg,00480
002.jpeg,Cook
002.jpeg,Cove
002.jpeg,"Spencerport,"
002.jpeg,UT
002.jpeg,12036
002.jpeg,Tax
002.jpeg,Id:
002.jpeg,998-99-5253
002.jpeg,IBAN:
002.jpeg,GB92PBPQ73499358975916
002.jpeg,ITEMS
002.jpeg,No.
002.jpeg,Description
002.jpeg,Qty
002.jpeg,1.
002.jpeg,HP
002.jpeg,Desktop
002.jpeg,Computer
002.jpeg,PC
002.jpeg,J]
002.jpeg,"4,00"
002.jpeg,Core
002.jpeg,i5
002.jpeg,16GB
002.jpeg,2TB
002.jpeg,HD
002.jpeg,256GB
002.jpeg,SSD
002.jpeg,"22"""
002.jpeg,LCD
002.jpeg,J]
002.jpeg,Windows
002.jpeg,10
002.jpeg,2.
002.jpeg,CUSTOM
002.jpeg,BUILT
002.jpeg,AMD
002.jpeg,RYZEN
002.jpeg,"3,00"
002.jpeg,THREADRIPPER
002.jpeg,GAMING
002.jpeg,COMPUTER
002.jpeg,","
002.jpeg,32
002.jpeg,GB
002.jpeg,"RAM,"
002.jpeg,3:
002.jpeg,Fast
002.jpeg,Dell
002.jpeg,Optiplex
002.jpeg,Desktop
002.jpeg,PC
002.jpeg,"1,00"
002.jpeg,Computer
002.jpeg,Dual
002.jpeg,Core
002.jpeg,3.4Ghz
002.jpeg,8GB
002.jpeg,1TB
002.jpeg,Win
002.jpeg,10
002.jpeg,Pro
002.jpeg,WIFI
002.jpeg,4.
002.jpeg,Dell
002.jpeg,Optiplex
002.jpeg,790
002.jpeg,Computer
002.jpeg,i7
002.jpeg,"3,00"
002.jpeg,@
002.jpeg,3.40
002.jpeg,Ghz
002.jpeg,Quad
002.jpeg,Core
002.jpeg,250GB
002.jpeg,4GB
002.jpeg,Working
002.jpeg,Vintage
002.jpeg,Microsolutions
002.jpeg,Pentium
002.jpeg,"2,00"
002.jpeg,133mhz
002.jpeg,Desktop
002.jpeg,Tower
002.jpeg,PC
002.jpeg,Windows
002.jpeg,95
002.jpeg,5.25
002.jpeg,Floppy
002.jpeg,SUMMARY
002.jpeg,VAT
002.jpeg,[%]
002.jpeg,10%
002.jpeg,Total
002.jpeg,03/03/2012
002.jpeg,UM
002.jpeg,each
002.jpeg,each
002.jpeg,each
002.jpeg,each
002.jpeg,each
002.jpeg,Client:
002.jpeg,Duncan
002.jpeg,PLC
002.jpeg,Unit
002.jpeg,8799
002.jpeg,Box
002.jpeg,0703
002.jpeg,DPO
002.jpeg,AP
002.jpeg,81970
002.jpeg,Tax
002.jpeg,Id:
002.jpeg,911-82-7132
002.jpeg,Net
002.jpeg,price
002.jpeg,Net
002.jpeg,worth
002.jpeg,VAT
002.jpeg,[%]
002.jpeg,"139,95"
002.jpeg,"559,80"
